id,project_id,contract_id,org_id,role,start_date,end_date,share_percent,notes
wba_par_01HREAL001,wba_prj_01HREAL001,wba_ctr_01HREAL001,wba_org_01HREAL001,contractor,wba_date_01HREAL001,wba_date_01HREAL002,,"EPC contractor, also 36% HESCO equity"
wba_par_01HREAL002,wba_prj_01HREAL001,,wba_org_01HREAL003,financier,wba_date_01HREAL001,,,Exim Bank lender 85%
wba_par_01HREAL003,wba_prj_01HREAL002,wba_ctr_01HREAL002,wba_org_01HREAL001,contractor,,wba_date_01HREAL003,,Sinohydro Bureau 16
wba_par_01HREAL004,wba_prj_01HREAL002,,wba_org_01HREAL003,financier,,,,$319.45m preferential
wba_par_01HREAL005,wba_prj_01HREAL003,wba_ctr_01HREAL003,wba_org_01HREAL005,contractor,wba_date_01HREAL004,,,CJI EPC
wba_par_01HREAL006,wba_prj_01HREAL003,,wba_org_01HREAL003,financier,wba_date_01HREAL004,,,Exim Bank RMB 1.045bn
wba_par_01HREAL007,wba_prj_01HREAL004,wba_ctr_01HREAL004,wba_org_01HREAL007,contractor,wba_date_01HREAL006,,,CRBC developer/contractor/operator via Moja Expressway
wba_par_01HREAL008,wba_prj_01HREAL004,,wba_org_01HREAL003,financier,,,,Exim + CDB $494m
wba_par_01HREAL009,wba_prj_01HREAL005,wba_ctr_01HREAL005,wba_org_01HREAL007,contractor,,wba_date_01HREAL007,,Prime contractor CRBC $3.6bn
wba_par_01HREAL010,wba_prj_01HREAL005,,wba_org_01HREAL011,operator,wba_date_01HREAL007,,,Afristar operator 5-10yr
wba_par_01HREAL011,wba_prj_01HREAL005,,wba_org_01HREAL003,financier,,,,Exim Bank 90% $3.23bn
wba_par_01HREAL012,wba_prj_01HREAL006,wba_ctr_01HREAL006,wba_org_01HREAL012,supplier,wba_date_01HREAL014,wba_date_01HREAL008,,Vestas 365 turbines supplier/installer
wba_par_01HREAL013,wba_prj_01HREAL006,,wba_org_01HREAL012,operator,,,,"12.5% equity, 15yr service, divested 2024"
wba_par_01HREAL014,wba_prj_01HREAL007,wba_ctr_01HREAL009,wba_org_01HREAL014,contractor,,wba_date_01HREAL009,,CREC EPC $475m
wba_par_01HREAL015,wba_prj_01HREAL007,,wba_org_01HREAL016,operator,,,,Shenzhen Metro 5yr O&M $116m
wba_par_01HREAL016,wba_prj_01HREAL007,,wba_org_01HREAL003,financier,,,,Exim Bank 85%
wba_par_01HREAL017,wba_prj_01HREAL008,wba_ctr_01HREAL007,wba_org_01HREAL014,contractor,,wba_date_01HREAL011,,CREC Sebeta-Mieso
wba_par_01HREAL018,wba_prj_01HREAL008,,wba_org_01HREAL019,contractor,,wba_date_01HREAL011,,CCECC Mieso-Djibouti
wba_par_01HREAL019,wba_prj_01HREAL008,,wba_org_01HREAL003,financier,,,,Exim Bank ~$4bn
wba_par_01HREAL020,wba_prj_01HREAL009,wba_ctr_01HREAL008,wba_org_01HREAL020,contractor,,wba_date_01HREAL012,,"Webuild designer & civil works, Italy"
wba_par_01HREAL021,wba_prj_01HREAL010,wba_ctr_01HREAL010,wba_org_01HREAL022,contractor,wba_date_01HREAL015,wba_date_01HREAL017,,Shanghai Construction EPC
wba_par_01HREAL022,wba_prj_01HREAL010,,wba_org_01HREAL023,designer,wba_date_01HREAL015,,,SIPPR architect
wba_par_01HREAL023,wba_prj_01HREAL010,,wba_org_01HREAL024,financier,wba_date_01HREAL015,,,MOFCOM grant RMB675.8m
wba_par_01HREAL024,wba_prj_01HREAL011,wba_ctr_01HREAL011,wba_org_01HREAL005,contractor,wba_date_01HREAL018,wba_date_01HREAL019,,China Jiangsu
wba_par_01HREAL025,wba_prj_01HREAL011,,wba_org_01HREAL003,financier,wba_date_01HREAL018,,,Exim $150m
wba_par_01HREAL026,wba_prj_01HREAL012,wba_ctr_01HREAL015,wba_org_01HREAL027,financier,wba_date_01HREAL020,,,Korea Eximbank $94.7m
wba_par_01HREAL027,wba_prj_01HREAL012,,wba_org_01HREAL026,developer,wba_date_01HREAL020,,,Kenya-KAIST entity
wba_par_01HREAL028,wba_prj_01HREAL013,wba_ctr_01HREAL012,wba_org_01HREAL007,contractor,wba_date_01HREAL021,wba_date_01HREAL022,,CRBC/CCCC $484m
wba_par_01HREAL029,wba_prj_01HREAL013,,wba_org_01HREAL029,sponsor,wba_date_01HREAL021,,,KPA owner
wba_par_01HREAL030,wba_prj_01HREAL014,wba_ctr_01HREAL013,wba_org_01HREAL019,contractor,wba_date_01HREAL023,wba_date_01HREAL024,,CCECC $246m
wba_par_01HREAL031,wba_prj_01HREAL014,,wba_org_01HREAL031,designer,wba_date_01HREAL023,,,Beijing Shougang
wba_par_01HREAL032,wba_prj_01HREAL015,wba_ctr_01HREAL014,wba_org_01HREAL025,contractor,wba_date_01HREAL025,wba_date_01HREAL028,,Daewoo $161m cross-border
wba_par_01HREAL033,wba_prj_01HREAL016,wba_ctr_01HREAL016,wba_org_01HREAL033,contractor,wba_date_01HREAL029,,,"Raubex EPC, South Africa"
wba_par_01HREAL034,wba_prj_01HREAL016,,wba_org_01HREAL034,developer,wba_date_01HREAL029,,,Zimborders 17yr BOT
wba_par_01HREAL035,wba_prj_01HREAL017,wba_ctr_01HREAL017,wba_org_01HREAL035,contractor,wba_date_01HREAL030,,,Huawei EPC
wba_par_01HREAL036,wba_prj_01HREAL017,,wba_org_01HREAL003,financier,wba_date_01HREAL030,,,Exim $98.6m PBC
wba_par_01HREAL037,wba_prj_01HREAL018,wba_ctr_01HREAL018,wba_org_01HREAL037,contractor,wba_date_01HREAL031,,,CGGC Energy China
wba_par_01HREAL038,wba_prj_01HREAL018,,wba_org_01HREAL038,financier,wba_date_01HREAL031,,,AfDB $370m Phase1
wba_par_01HREAL039,wba_prj_01HREAL019,wba_ctr_01HREAL019,wba_org_01HREAL039,contractor,wba_date_01HREAL032,,,Toyo Construction Japan
wba_par_01HREAL040,wba_prj_01HREAL019,,wba_org_01HREAL040,financier,wba_date_01HREAL032,,,JICA Sh32bn
wba_par_01HREAL041,wba_prj_01HREAL020,wba_ctr_01HREAL020,wba_org_01HREAL042,contractor,wba_date_01HREAL035,,,CGCOC/HydroChina
wba_par_01HREAL042,wba_prj_01HREAL021,wba_ctr_01HREAL021,wba_org_01HREAL008,contractor,wba_date_01HREAL036,,,CCCC Bole
wba_par_01HREAL043,wba_prj_01HREAL022,wba_ctr_01HREAL022,wba_org_01HREAL001,contractor,wba_date_01HREAL037,wba_date_01HREAL038,,Sinohydro 750MW
wba_par_01HREAL044,wba_prj_01HREAL023,wba_ctr_01HREAL023,wba_org_01HREAL047,contractor,wba_date_01HREAL040,wba_date_01HREAL040,,Arab Contractors JV leader
wba_par_01HREAL045,wba_prj_01HREAL023,,wba_org_01HREAL048,contractor,wba_date_01HREAL040,,,Elsewedy Electric JV
wba_par_01HREAL046,wba_prj_01HREAL024,wba_ctr_01HREAL024,wba_org_01HREAL007,contractor,wba_date_01HREAL039,wba_date_01HREAL039,,CRBC Maputo
wba_par_01HREAL047,wba_prj_01HREAL024,,wba_org_01HREAL003,financier,wba_date_01HREAL039,,,Exim 85% $785m
wba_par_01HREAL048,wba_prj_01HREAL025,wba_ctr_01HREAL025,wba_org_01HREAL050,contractor,wba_date_01HREAL040,,,Mota-Engil 75%
wba_par_01HREAL049,wba_prj_01HREAL025,,wba_org_01HREAL051,sponsor,wba_date_01HREAL040,,,Rwanda Ministry
wba_par_01HREAL050,wba_prj_01HREAL026,wba_ctr_01HREAL026,wba_org_01HREAL052,contractor,wba_date_01HREAL041,wba_date_01HREAL042,,Eiffage leader 45%
wba_par_01HREAL051,wba_prj_01HREAL026,,wba_org_01HREAL054,contractor,wba_date_01HREAL041,,,Yapi Merkezi Turkey
wba_par_01HREAL052,wba_prj_01HREAL026,,wba_org_01HREAL055,supplier,wba_date_01HREAL041,,,Thales systems
wba_par_01HREAL053,wba_prj_01HREAL027,wba_ctr_01HREAL027,wba_org_01HREAL001,contractor,wba_date_01HREAL043,wba_date_01HREAL044,,Sinohydro Bui
wba_par_01HREAL054,wba_prj_01HREAL027,,wba_org_01HREAL003,financier,wba_date_01HREAL043,,,Exim $623m
wba_par_01HREAL055,wba_prj_01HREAL028,wba_ctr_01HREAL028,wba_org_01HREAL057,contractor,wba_date_01HREAL045,wba_date_01HREAL046,,OEC Odebrecht
wba_par_01HREAL056,wba_prj_01HREAL028,,wba_org_01HREAL058,supplier,wba_date_01HREAL045,,,ANDRITZ turbines
wba_par_01HREAL057,wba_prj_01HREAL029,wba_ctr_01HREAL029,wba_org_01HREAL008,contractor,wba_date_01HREAL047,wba_date_01HREAL048,,CCCC Kampala
wba_par_01HREAL058,wba_prj_01HREAL029,,wba_org_01HREAL003,financier,wba_date_01HREAL047,,,Exim $350m
wba_par_01HREAL059,wba_prj_01HREAL030,wba_ctr_01HREAL030,wba_org_01HREAL035,contractor,wba_date_01HREAL049,,,Huawei Malawi
wba_par_01HREAL060,wba_prj_01HREAL030,,wba_org_01HREAL003,financier,wba_date_01HREAL049,,,Exim $121.8m
wba_par_01HREAL061,wba_prj_01HREAL031,wba_ctr_01HREAL031,wba_org_01HREAL020,contractor,wba_date_01HREAL052,,,Webuild Tokwe-Mukosi
wba_par_01HREAL062,wba_prj_01HREAL032,wba_ctr_01HREAL032,wba_org_01HREAL035,supplier,wba_date_01HREAL054,,,Huawei NetOne 345 stations
wba_par_01HREAL063,wba_prj_01HREAL032,,wba_org_01HREAL003,financier,wba_date_01HREAL054,,,Exim $71m
wba_par_01HREAL064,wba_prj_01HREAL033,wba_ctr_01HREAL033,wba_org_01HREAL040,financier,wba_date_01HREAL055,,,JICA Olkaria
wba_par_01HREAL065,wba_prj_01HREAL033,,wba_org_01HREAL066,supplier,wba_date_01HREAL055,,,Toshiba turbines
wba_par_01HREAL066,wba_prj_01HREAL034,wba_ctr_01HREAL034,wba_org_01HREAL067,contractor,wba_date_01HREAL055,,,China Wu Yi Outer Ring
wba_par_01HREAL067,wba_prj_01HREAL034,,wba_org_01HREAL038,financier,wba_date_01HREAL055,,,AfDB UA77.6m
wba_par_01HREAL068,wba_prj_01HREAL035,wba_ctr_01HREAL035,wba_org_01HREAL037,contractor,,,,CGGC Genale Dawa 254MW
wba_par_01HREAL069,wba_prj_01HREAL036,wba_ctr_01HREAL035,wba_org_01HREAL071,contractor,wba_date_01HREAL058,,,CJIC KKIA $360m
wba_par_01HREAL070,wba_prj_01HREAL037,wba_ctr_01HREAL036,wba_org_01HREAL054,contractor,wba_date_01HREAL061,,,Yapi Merkezi $1.9bn
wba_par_01HREAL071,wba_prj_01HREAL038,wba_ctr_01HREAL037,wba_org_01HREAL074,developer,wba_date_01HREAL062,,,Vale sponsor Nacala
wba_par_01HREAL072,wba_prj_01HREAL038,,wba_org_01HREAL075,sponsor,wba_date_01HREAL062,,,Mitsui sponsor
wba_par_01HREAL073,wba_prj_01HREAL039,wba_ctr_01HREAL038,wba_org_01HREAL076,designer,wba_date_01HREAL063,,,AECOM Tema
wba_par_01HREAL074,wba_prj_01HREAL039,,wba_org_01HREAL077,operator,wba_date_01HREAL063,,,MPS JV
wba_par_01HREAL075,wba_prj_01HREAL039,,wba_org_01HREAL078,sponsor,wba_date_01HREAL063,,,Bollore shareholder
wba_par_01HREAL076,wba_prj_01HREAL039,,wba_org_01HREAL079,sponsor,wba_date_01HREAL063,,,APM Terminals
wba_par_01HREAL077,wba_prj_01HREAL040,wba_ctr_01HREAL039,wba_org_01HREAL081,developer,wba_date_01HREAL064,,,ACWA Power Noor
wba_par_01HREAL078,wba_prj_01HREAL040,,wba_org_01HREAL082,sponsor,wba_date_01HREAL064,,,MASEN
wba_par_01HREAL079,wba_prj_01HREAL042,wba_ctr_01HREAL040,wba_org_01HREAL035,contractor,wba_date_01HREAL067,wba_date_01HREAL068,,CHEC Walvis Bay $260m
wba_par_01HREAL080,wba_prj_01HREAL043,wba_ctr_01HREAL041,wba_org_01HREAL035,contractor,wba_date_01HREAL069,,,CHEC Kribi
wba_par_01HREAL081,wba_prj_01HREAL044,wba_ctr_01HREAL042,wba_org_01HREAL086,contractor,wba_date_01HREAL074,,,Bouygues Gautrain
wba_par_01HREAL082,wba_prj_01HREAL044,,wba_org_01HREAL085,consortium_member,wba_date_01HREAL074,,,Bombela
wba_par_01HREAL083,wba_prj_01HREAL045,wba_ctr_01HREAL043,wba_org_01HREAL020,contractor,wba_date_01HREAL075,wba_date_01HREAL076,,PowerChina/CREC Busanga
wba_par_01HREAL084,wba_prj_01HREAL046,wba_ctr_01HREAL044,wba_org_01HREAL088,contractor,wba_date_01HREAL077,,,CSCEC New Capital $3bn
wba_par_01HREAL085,wba_prj_01HREAL047,wba_ctr_01HREAL045,wba_org_01HREAL090,contractor,wba_date_01HREAL078,,,Limak AIBD
wba_par_01HREAL086,wba_prj_01HREAL047,,wba_org_01HREAL091,operator,wba_date_01HREAL078,,,Summa operator
wba_par_01HREAL087,wba_prj_01HREAL048,wba_ctr_01HREAL046,wba_org_01HREAL091,contractor,wba_date_01HREAL079,wba_date_01HREAL080,,Summa BK Arena $104m
wba_par_01HREAL088,wba_prj_01HREAL049,wba_ctr_01HREAL047,wba_org_01HREAL001,contractor,wba_date_01HREAL081,wba_date_01HREAL082,,Sinohydro Karuma 600MW
wba_par_01HREAL089,wba_prj_01HREAL049,,wba_org_01HREAL003,financier,wba_date_01HREAL081,,,Exim $1.4bn 85%
wba_par_01HREAL090,wba_prj_01HREAL050,wba_ctr_01HREAL048,wba_org_01HREAL098,contractor,wba_date_01HREAL083,wba_date_01HREAL084,,Cegelec Zagtouli 33MW
wba_par_01HREAL091,wba_prj_01HREAL051,wba_ctr_01HREAL049,wba_org_01HREAL099,contractor,wba_date_01HREAL085,wba_date_01HREAL086,,Tyazhpromexport USSR Ajaokuta
wba_par_01HREAL092,wba_prj_01HREAL052,wba_ctr_01HREAL066,wba_org_01HREAL102,financier,wba_date_01HREAL087,wba_date_01HREAL088,,China financier TAZARA
wba_par_01HREAL093,wba_prj_01HREAL052,,wba_org_01HREAL101,operator,wba_date_01HREAL087,,,TAZARA Authority
wba_par_01HREAL094,wba_prj_01HREAL053,wba_ctr_01HREAL050,wba_org_01HREAL103,contractor,wba_date_01HREAL089,wba_date_01HREAL090,,Impregilo Akosombo
wba_par_01HREAL095,wba_prj_01HREAL054,wba_ctr_01HREAL067,wba_org_01HREAL106,contractor,wba_date_01HREAL091,wba_date_01HREAL092,,Sorefame Portugal Cahora
wba_par_01HREAL096,wba_prj_01HREAL055,wba_ctr_01HREAL051,wba_org_01HREAL107,designer,wba_date_01HREAL093,wba_date_01HREAL094,,Hydroproject USSR Aswan
wba_par_01HREAL097,wba_prj_01HREAL056,wba_ctr_01HREAL068,wba_org_01HREAL088,contractor,wba_date_01HREAL095,wba_date_01HREAL096,,Dong Ah GMR
wba_par_01HREAL098,wba_prj_01HREAL057,wba_ctr_01HREAL052,wba_org_01HREAL111,contractor,wba_date_01HREAL098,wba_date_01HREAL099,,CWE Merowe
wba_par_01HREAL099,wba_prj_01HREAL057,,wba_org_01HREAL112,consultant,wba_date_01HREAL098,,,Lahmeyer Germany Merowe
wba_par_01HREAL100,wba_prj_01HREAL058,wba_ctr_01HREAL053,wba_org_01HREAL001,contractor,wba_date_01HREAL100,wba_date_01HREAL101,,Sinohydro Soubre
wba_par_01HREAL101,wba_prj_01HREAL059,wba_ctr_01HREAL054,wba_org_01HREAL114,contractor,wba_date_01HREAL102,wba_date_01HREAL103,,CITIC Kilamba
wba_par_01HREAL102,wba_prj_01HREAL060,wba_ctr_01HREAL069,wba_org_01HREAL037,contractor,wba_date_01HREAL102,,,CGGC Kandadji
wba_par_01HREAL103,wba_prj_01HREAL061,wba_ctr_01HREAL070,wba_org_01HREAL118,developer,wba_date_01HREAL107,wba_date_01HREAL108,,China Merchants Bagamoyo
wba_par_01HREAL104,wba_prj_01HREAL061,,wba_org_01HREAL119,sponsor,wba_date_01HREAL107,,,Oman GRF
wba_par_01HREAL105,wba_prj_01HREAL062,wba_ctr_01HREAL071,wba_org_01HREAL121,developer,wba_date_01HREAL109,,,TotalEnergies EACOP 62%
wba_par_01HREAL106,wba_prj_01HREAL062,,wba_org_01HREAL122,sponsor,wba_date_01HREAL109,,,CNOOC 8%
