iso3,name_en,name_fr,name_pt,region
ZWE,Zimbabwe,Zimbabwe,Zimbabué,Southern Africa
KEN,Kenya,Kenya,Quénia,Eastern Africa
ETH,Ethiopia,Éthiopie,Etiópia,Eastern Africa
BWA,Botswana,Botswana,Botsuana,Southern Africa
ZMB,Zambia,Zambie,Zambia,Southern Africa
SEN,Senegal,Senegal,Senegal,Western Africa
GHA,Ghana,Ghana,Gana,Western Africa
AGO,Angola,Angola,Angola,Central Africa
UGA,Uganda,Ouganda,Uganda,Eastern Africa
MWI,Malawi,Malawi,Malawi,Southern Africa
MOZ,Mozambique,Mozambique,Mocambique,Southern Africa
RWA,Rwanda,Rwanda,Ruanda,Eastern Africa
TZA,Tanzania,Tanzanie,Tanzania,Eastern Africa
MAR,Morocco,Maroc,Marrocos,Northern Africa
NAM,Namibia,Namibie,Namibia,Southern Africa
CMR,Cameroon,Cameroun,Camaroes,Central Africa
ZAF,South Africa,Afrique du Sud,Africa do Sul,Southern Africa
COD,Democratic Republic of Congo,Republique Democratique du Congo,Republica Democratica do Congo,Central Africa
EGY,Egypt,Egypte,Egito,Northern Africa
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Western Africa
NGA,Nigeria,Nigeria,Nigeria,Western Africa
SDN,Sudan,Soudan,Sudao,Northern Africa
LBY,Libya,Libye,Libia,Northern Africa
CIV,Ivory Coast,Cote d'Ivoire,Costa do Marfim,Western Africa
DZA,Algeria,Algerie,Argelia,Northern Africa
TUN,Tunisia,Tunisie,Tunisia,Northern Africa
DJI,Djibouti,Djibouti,Djibouti,Eastern Africa
GIN,Guinea,Guinee,Guine,Western Africa
SLE,Sierra Leone,Sierra Leone,Serra Leoa,Western Africa
SUN,Soviet Union (historical),Union Sovietique,Uniao Sovietica,Historical
BDI,Burundi,Burundi,Burundi,Eastern Africa
CPV,Cape Verde,Cap-Vert,Cabo Verde,Western Africa
CAF,Central African Republic,Republique Centrafricaine,Republica Centro-Africana,Central Africa
TCD,Chad,Tchad,Chade,Central Africa
COM,Comoros,Comores,Comores,Eastern Africa
COG,Congo,Congo,Congo,Central Africa
GNQ,Equatorial Guinea,Guinee Equatoriale,Guine Equatorial,Central Africa
ERI,Eritrea,Erythree,Eritreia,Eastern Africa
SWZ,Eswatini,Eswatini,Essuatini,Southern Africa
GAB,Gabon,Gabon,Gabao,Central Africa
GMB,Gambia,Gambie,Gambia,Western Africa
GNB,Guinea-Bissau,Guinee-Bissau,Guine-Bissau,Western Africa
LSO,Lesotho,Lesotho,Lesoto,Southern Africa
LBR,Liberia,Liberia,Liberia,Western Africa
MDG,Madagascar,Madagascar,Madagascara,Southern Africa
MLI,Mali,Mali,Mali,Western Africa
MRT,Mauritania,Mauritanie,Mauritania,Northern Africa
MUS,Mauritius,Maurice,Mauricio,Eastern Africa
STP,Sao Tome and Principe,Sao Tome-et-Principe,Sao Tome e Principe,Central Africa
SYC,Seychelles,Seychelles,Seicheles,Eastern Africa
SOM,Somalia,Somalie,Somalia,Eastern Africa
SSD,South Sudan,Soudan du Sud,Sudao do Sul,Eastern Africa
TGO,Togo,Togo,Togo,Western Africa
BEN,Benin,Benin,Benim,Western Africa
NER,Niger,Niger,Niger,Western Africa
ESH,Western Sahara,Sahara Occidental,Saara Ocidental,Northern Africa
