project_id,admin1,admin2,city,locality,precision,lat,lon
wba_prj_01HREAL001,Matabeleland North,Hwange,Hwange,Hwange Power Station,exact,-18.383,26.48
wba_prj_01HREAL002,Matabeleland North,Kariba,Kariba,Kariba South,exact,-16.521,28.761
wba_prj_01HREAL003,Harare,Harare,Harare,RGM International Airport,approximate,-17.931,31.092
wba_prj_01HREAL004,Nairobi,Nairobi,Nairobi,JKIA–James Gichuru corridor,corridor,,
wba_prj_01HREAL005,Mombasa,Mombasa,Mombasa,Mombasa–Nairobi corridor,corridor,,
wba_prj_01HREAL006,Marsabit,Loiyangalani,Loiyangalani,Lake Turkana,exact,2.85,36.82
wba_prj_01HREAL007,Addis Ababa,Addis Ababa,Addis Ababa,Addis Light Rail corridor,corridor,,
wba_prj_01HREAL008,Addis Ababa,Addis Ababa,Addis Ababa,Addis–Djibouti corridor,corridor,,
wba_prj_01HREAL009,Benishangul-Gumuz,,,GERD site,exact,11.22,35.09
wba_prj_01HREAL010,Harare,Harare,Mount Hampden,New Parliament site,exact,-17.689,30.943
wba_prj_01HREAL011,Matabeleland North,Hwange,Victoria Falls,Victoria Falls Airport,exact,-18.096,25.839
wba_prj_01HREAL012,Machakos,Athi River,Konza,Konza Technopolis,approximate,-1.057,37.095
wba_prj_01HREAL013,Lamu,Lamu,Lamu,Lamu Port,exact,-2.416,40.910
wba_prj_01HREAL014,Sidama,Hawassa,Hawassa,Hawassa Park,exact,7.060,38.476
wba_prj_01HREAL015,Southern,Chobe,Kazungula,Kazungula Bridge site,exact,-17.775,25.262
