id,project_id,event_type,date_id,source_claim,notes
wba_evt_01HREAL001,wba_prj_01HREAL001,construction_start,wba_date_01HREAL001,wba_clm_01HREAL001,Groundbreaking Hwange 7&8
wba_evt_01HREAL002,wba_prj_01HREAL001,commissioned,wba_date_01HREAL002,wba_clm_01HREAL002,Commissioned 2023
wba_evt_01HREAL003,wba_prj_01HREAL002,commissioned,wba_date_01HREAL003,wba_clm_01HREAL003,Kariba South commissioned
wba_evt_01HREAL004,wba_prj_01HREAL003,construction_start,wba_date_01HREAL004,wba_clm_01HREAL005,Groundbreaking RGM
wba_evt_01HREAL005,wba_prj_01HREAL003,commissioned,wba_date_01HREAL005,wba_clm_01HREAL004,Completed 2023
wba_evt_01HREAL006,wba_prj_01HREAL004,commissioned,wba_date_01HREAL006,wba_clm_01HREAL006,Trial operation Nairobi Expressway
wba_evt_01HREAL007,wba_prj_01HREAL005,commissioned,wba_date_01HREAL007,wba_clm_01HREAL007,Inaugurated SGR
wba_evt_01HREAL008,wba_prj_01HREAL006,completed,wba_date_01HREAL008,wba_clm_01HREAL008,Vestas order / completed 2018
wba_evt_01HREAL009,wba_prj_01HREAL007,construction_start,wba_date_01HREAL010,wba_clm_01HREAL011,Trial Feb 2015
wba_evt_01HREAL010,wba_prj_01HREAL007,commissioned,wba_date_01HREAL009,wba_clm_01HREAL010,Opened 20 Sep 2015
wba_evt_01HREAL011,wba_prj_01HREAL008,commissioned,wba_date_01HREAL011,wba_clm_01HREAL012,Inaugurated 5 Oct 2016
wba_evt_01HREAL012,wba_prj_01HREAL009,commissioned,wba_date_01HREAL012,wba_clm_01HREAL014,GERD inaugurated 2025
