id,edtf_string,precision,earliest,latest,display_string
wba_date_01HREAL001,2018-06-27,day,2018-06-27,2018-06-27,27 June 2018
wba_date_01HREAL002,2023-08-04,day,2023-08-04,2023-08-04,4 August 2023
wba_date_01HREAL003,2018-03-28,day,2018-03-28,2018-03-28,28 March 2018
wba_date_01HREAL004,2018-07-23,day,2018-07-23,2018-07-23,23 July 2018
wba_date_01HREAL005,2023,year,2023-01-01,2023-12-31,2023
wba_date_01HREAL006,2022-05-14,day,2022-05-14,2022-05-14,14 May 2022
wba_date_01HREAL007,2017-05-31,day,2017-05-31,2017-05-31,31 May 2017
wba_date_01HREAL008,2018,year,2018-01-01,2018-12-31,2018
wba_date_01HREAL009,2015-09-20,day,2015-09-20,2015-09-20,20 September 2015
wba_date_01HREAL010,2015-02,month,2015-02-01,2015-02-28,February 2015
wba_date_01HREAL011,2016-10-05,day,2016-10-05,2016-10-05,5 October 2016
wba_date_01HREAL012,2025-09-09,day,2025-09-09,2025-09-09,9 September 2025
wba_date_01HREAL013,2026-09-11,day,2026-09-11,2026-09-11,11 September 2026
wba_date_01HREAL014,2014,year,2014-01-01,2014-12-31,2014
