id,source_id,project_id,organization_id,contract_id,verbatim_quote,claim_text,claim_type,evidence_strength,corroboration_status
wba_clm_01HREAL001,wba_src_01HREAL001,wba_prj_01HREAL001,wba_org_01HREAL001,wba_ctr_01HREAL001,"The Hwange Thermal Power Station Unit 7 and 8 expansion project undertaken by Sinohydro broke ground on June 27, 2018.","Sinohydro Corporation is the EPC contractor for Hwange Units 7 & 8 expansion, groundbreaking 27 June 2018.",award,officially_reported,corroborated
wba_clm_01HREAL002,wba_src_01HREAL002,wba_prj_01HREAL001,wba_org_01HREAL003,,"President Mnangagwa commissioned the US$1.5bn Hwange Power Station expansion project on August 4, 2023.",Hwange Units 7 & 8 commissioned 4 August 2023.,status,credibly_reported,uncorroborated
wba_clm_01HREAL003,wba_src_01HREAL003,wba_prj_01HREAL002,wba_org_01HREAL001,wba_ctr_01HREAL002,"Zimbabwe's Kariba South Hydropower Station, expanded by Sinohydro, was commissioned on March 28, 2018.","Sinohydro expanded Kariba South hydropower station, commissioned 28 March 2018.",status,officially_reported,uncorroborated
wba_clm_01HREAL004,wba_src_01HREAL004,wba_prj_01HREAL003,wba_org_01HREAL005,wba_ctr_01HREAL003,The RGM International Airport expansion project is being undertaken by China Jiangsu International for RMB1.045 billion.,"China Jiangsu International is EPC contractor for RGM Airport expansion, contract value RMB 1.045bn.",award,credibly_reported,corroborated
wba_clm_01HREAL005,wba_src_01HREAL005,wba_prj_01HREAL003,wba_org_01HREAL005,,"The groundbreaking ceremony for the Harare airport expansion was held on July 23, 2018.",RGM Airport expansion groundbreaking 23 July 2018.,date,officially_reported,uncorroborated
wba_clm_01HREAL006,wba_src_01HREAL006,wba_prj_01HREAL004,wba_org_01HREAL007,wba_ctr_01HREAL004,"The Nairobi Expressway undertaken by China Road and Bridge Corporation started trial operation on May 14, 2022.","CRBC is developer/contractor/operator of Nairobi Expressway, trial operation 14 May 2022.",award,officially_reported,corroborated
wba_clm_01HREAL007,wba_src_01HREAL007,wba_prj_01HREAL005,wba_org_01HREAL007,wba_ctr_01HREAL005,"Kenya inaugurated the Chinese-built Mombasa-Nairobi railway line on May 31, 2017.","CRBC built Mombasa-Nairobi SGR, inaugurated 31 May 2017.",award,confirmed,corroborated
wba_clm_01HREAL008,wba_src_01HREAL008,wba_prj_01HREAL006,wba_org_01HREAL012,,Vestas received a 310 MW order for Lake Turkana consisting of 365 turbines.,Vestas supplied 365 turbines for 310 MW Lake Turkana Wind Power.,role,officially_reported,corroborated
wba_clm_01HREAL009,wba_src_01HREAL010,wba_prj_01HREAL007,wba_org_01HREAL014,,The Addis Ababa Light Rail Transit project was constructed by China Railway Group for 475 million USD.,"CREC constructed Addis Ababa Light Rail, $475m.",award,officially_reported,corroborated
wba_clm_01HREAL010,wba_src_01HREAL011,wba_prj_01HREAL007,,,"Addis Ababa Light Rail opened on September 20, 2015.",Addis Light Rail opened 20 September 2015.,status,credibly_reported,corroborated
wba_clm_01HREAL011,wba_src_01HREAL012,wba_prj_01HREAL008,wba_org_01HREAL014,wba_ctr_01HREAL007,The Ethiopia-Djibouti railway was constructed by China Railway Group and CCECC with financing from Exim Bank of China.,CREC and CCECC constructed Ethio-Djibouti Railway with Exim Bank financing.,award,officially_reported,corroborated
wba_clm_01HREAL012,wba_src_01HREAL013,wba_prj_01HREAL008,,,"The 752 km Ethiopia-Djibouti railway was inaugurated on October 5, 2016.",Ethio-Djibouti Railway inaugurated 5 October 2016.,status,officially_reported,corroborated
wba_clm_01HREAL013,wba_src_01HREAL014,wba_prj_01HREAL009,wba_org_01HREAL020,,"Webuild is the contractor for the Grand Ethiopian Renaissance Dam with 5,150 MW capacity.","Webuild (Italy) is contractor for GERD, 5,150 MW.",award,officially_reported,corroborated
wba_clm_01HREAL014,wba_src_01HREAL015,wba_prj_01HREAL009,,,"Ethiopia inaugurated the GERD on September 9, 2025.",GERD inaugurated 9 September 2025.,status,credibly_reported,corroborated
