id,project_id,event_type,date_id,source_claim,notes
wba_evt_01HREAL001,wba_prj_01HREAL001,construction_start,wba_date_01HREAL001,wba_clm_01HREAL001,Groundbreaking Hwange 7&8
wba_evt_01HREAL002,wba_prj_01HREAL001,commissioned,wba_date_01HREAL002,wba_clm_01HREAL002,Commissioned 2023
wba_evt_01HREAL003,wba_prj_01HREAL002,commissioned,wba_date_01HREAL003,wba_clm_01HREAL003,Kariba South commissioned
wba_evt_01HREAL004,wba_prj_01HREAL003,construction_start,wba_date_01HREAL004,wba_clm_01HREAL005,Groundbreaking RGM
wba_evt_01HREAL005,wba_prj_01HREAL003,commissioned,wba_date_01HREAL005,wba_clm_01HREAL004,Completed 2023
wba_evt_01HREAL006,wba_prj_01HREAL004,commissioned,wba_date_01HREAL006,wba_clm_01HREAL006,Trial operation Nairobi Expressway
wba_evt_01HREAL007,wba_prj_01HREAL005,commissioned,wba_date_01HREAL007,wba_clm_01HREAL007,Inaugurated SGR
wba_evt_01HREAL008,wba_prj_01HREAL006,completed,wba_date_01HREAL008,wba_clm_01HREAL008,Vestas order / completed 2018
wba_evt_01HREAL009,wba_prj_01HREAL007,construction_start,wba_date_01HREAL010,wba_clm_01HREAL011,Trial Feb 2015
wba_evt_01HREAL010,wba_prj_01HREAL007,commissioned,wba_date_01HREAL009,wba_clm_01HREAL010,Opened 20 Sep 2015
wba_evt_01HREAL011,wba_prj_01HREAL008,commissioned,wba_date_01HREAL011,wba_clm_01HREAL012,Inaugurated 5 Oct 2016
wba_evt_01HREAL012,wba_prj_01HREAL009,commissioned,wba_date_01HREAL012,wba_clm_01HREAL014,GERD inaugurated 2025
wba_evt_01HREAL013,wba_prj_01HREAL010,construction_start,wba_date_01HREAL015,wba_clm_01HREAL015,Groundbreaking New Parliament
wba_evt_01HREAL014,wba_prj_01HREAL010,commissioned,wba_date_01HREAL017,wba_clm_01HREAL015,Handover 2023
wba_evt_01HREAL015,wba_prj_01HREAL011,commissioned,wba_date_01HREAL019,wba_clm_01HREAL017,Opened 2016
wba_evt_01HREAL016,wba_prj_01HREAL013,awarded,wba_date_01HREAL021,wba_clm_01HREAL019,Award Lamu 2013
wba_evt_01HREAL017,wba_prj_01HREAL013,commissioned,wba_date_01HREAL022,wba_clm_01HREAL019,Berth 1 commissioned 2021
wba_evt_01HREAL018,wba_prj_01HREAL014,completed,wba_date_01HREAL024,wba_clm_01HREAL020,Inaugurated Hawassa 2016
wba_evt_01HREAL019,wba_prj_01HREAL015,awarded,wba_date_01HREAL025,wba_clm_01HREAL022,Award Kazungula Aug 2014
wba_evt_01HREAL020,wba_prj_01HREAL015,construction_start,wba_date_01HREAL026,wba_clm_01HREAL022,Construction start 2014
wba_evt_01HREAL021,wba_prj_01HREAL015,commissioned,wba_date_01HREAL028,wba_clm_01HREAL022,Completed 2021
wba_evt_01HREAL022,wba_prj_01HREAL016,commissioned,wba_date_01HREAL029,wba_clm_01HREAL023,Beitbridge commissioned Dec 2022
wba_evt_01HREAL023,wba_prj_01HREAL018,construction_start,wba_date_01HREAL031,wba_clm_01HREAL025,Thwake signed 2017
wba_evt_01HREAL024,wba_prj_01HREAL019,commissioned,wba_date_01HREAL033,wba_clm_01HREAL026,Mombasa Phase1 2016
wba_evt_01HREAL025,wba_prj_01HREAL020,commissioned,wba_date_01HREAL036,wba_clm_01HREAL028,Adama commissioned 2015
wba_evt_01HREAL026,wba_prj_01HREAL022,construction_start,wba_date_01HREAL037,wba_clm_01HREAL030,Kafue start 2015
wba_evt_01HREAL027,wba_prj_01HREAL023,construction_start,wba_date_01HREAL040,wba_clm_01HREAL031,Nyerere start Dec 2018
