iso3,name_en,name_fr,name_pt,region
ZWE,Zimbabwe,Zimbabwe,Zimbabué,Southern Africa
KEN,Kenya,Kenya,Quénia,Eastern Africa
ETH,Ethiopia,Éthiopie,Etiópia,Eastern Africa
BWA,Botswana,Botswana,Botsuana,Southern Africa
ZMB,Zambia,Zambie,Zambia,Southern Africa
SEN,Senegal,Senegal,Senegal,Western Africa
GHA,Ghana,Ghana,Gana,Western Africa
AGO,Angola,Angola,Angola,Central Africa
UGA,Uganda,Ouganda,Uganda,Eastern Africa
MWI,Malawi,Malawi,Malawi,Southern Africa
MOZ,Mozambique,Mozambique,Mocambique,Southern Africa
RWA,Rwanda,Rwanda,Ruanda,Eastern Africa
TZA,Tanzania,Tanzanie,Tanzania,Eastern Africa
