id,canonical_name,org_type,notes
wba_org_01HREAL001,Sinohydro Corporation,soe,"China, subsidiary of PowerChina"
wba_org_01HREAL002,PowerChina,soe,Parent of Sinohydro
wba_org_01HREAL003,Export-Import Bank of China,export_credit,"Policy bank, China"
wba_org_01HREAL004,Zimbabwe Power Company,state_agency,"State-owned utility, owner of Hwange/Kariba"
wba_org_01HREAL005,China Jiangsu International Economic and Technical Cooperation Group,soe,"CJI, China"
wba_org_01HREAL006,Airports Company of Zimbabwe,state_agency,Owner of RGM Airport
wba_org_01HREAL007,China Road and Bridge Corporation,soe,"CRBC, subsidiary of CCCC"
wba_org_01HREAL008,China Communications Construction Company,soe,"CCCC, parent of CRBC"
wba_org_01HREAL009,Moja Expressway Company,private,"SPV for Nairobi Expressway, Kenya"
wba_org_01HREAL010,Kenya National Highways Authority,state_agency,"KeNHA, conceding authority"
wba_org_01HREAL011,Afristar Railway Operation Company,private,"Operator of SGR, subsidiary of CCCC"
wba_org_01HREAL012,Vestas Wind Systems,private,"Denmark, turbine supplier"
wba_org_01HREAL013,Lake Turkana Wind Power Ltd,private,"Project company, Kenya"
wba_org_01HREAL014,China Railway Group,soe,CREC
wba_org_01HREAL015,China Railway Eryuan Engineering Group,soe,"CREEC, designer"
wba_org_01HREAL016,Shenzhen Metro Group,soe,"Operator, Addis Light Rail"
wba_org_01HREAL017,Addis Ababa Light Rail Transit Service,state_agency,"Operator entity, Ethiopia"
wba_org_01HREAL018,Ethiopian Railways Corporation,state_agency,"ERC, owner Addis Light Rail & Ethio-Djibouti"
wba_org_01HREAL019,China Civil Engineering Construction Corporation,soe,CCECC
wba_org_01HREAL020,Webuild S.p.A.,private,"Italy, formerly Salini Impregilo"
wba_org_01HREAL021,Ethiopian Electric Power,state_agency,"EEP, owner of GERD"
wba_org_01HREAL022,Shanghai Construction Group,soe,"China, EPC contractor New Parliament"
wba_org_01HREAL023,China SIPPR Engineering Group,soe,"China, architect/design New Parliament"
wba_org_01HREAL024,Ministry of Commerce of China,state_agency,"MOFCOM, grant financier via CIDCA"
wba_org_01HREAL025,Daewoo Engineering & Construction,private,"South Korea, contractor Kazungula Bridge"
wba_org_01HREAL026,Kenya Advanced Institute of Science and Technology,state_agency,"Kenya-KAIST, project entity at Konza"
wba_org_01HREAL027,Export-Import Bank of Korea,export_credit,"Korea Eximbank, EDCF lender"
wba_org_01HREAL028,Konza Technopolis Development Authority,state_agency,"KoTDA, Kenya"
wba_org_01HREAL029,Kenya Ports Authority,state_agency,Owner Lamu Port
wba_org_01HREAL030,Industrial Parks Development Corporation,state_agency,"IPDC, Ethiopia, owner Hawassa Park"
wba_org_01HREAL031,Beijing Shougang International Engineering Technology,private,"China, lead design Hawassa"
wba_org_01HREAL033,Raubex Group Limited,private,"South Africa, contractor Beitbridge"
wba_org_01HREAL034,Zimborders Consortium,private,"Zimbabwe/South Africa, developer Beitbridge"
wba_org_01HREAL035,Huawei Technologies,private,"China, contractor TelOne/Malawi fibre"
wba_org_01HREAL036,TelOne Zimbabwe,state_agency,"State telco, owner broadband project"
wba_org_01HREAL037,China Gezhouba Group Corporation,soe,"CGGC, Energy China, contractor Thwake"
wba_org_01HREAL038,African Development Bank,dev_bank,"AfDB, financier Thwake"
wba_org_01HREAL039,Toyo Construction,private,"Japan, contractor Mombasa Port"
wba_org_01HREAL040,Japan International Cooperation Agency,state_agency,"JICA, financier Mombasa Port"
wba_org_01HREAL042,CGCOC Group,soe,"China, contractor Adama Wind"
wba_org_01HREAL043,Goldwind,private,"China, turbine supplier Adama"
wba_org_01HREAL045,ZESCO Limited,state_agency,"Zambia, owner Kafue"
wba_org_01HREAL046,Tanzania Electric Supply Company,state_agency,"TANESCO, owner Nyerere"
wba_org_01HREAL047,The Arab Contractors,private,"Egypt, contractor Nyerere"
wba_org_01HREAL048,Elsewedy Electric,private,"Egypt, contractor Nyerere"
wba_org_01HREAL049,Mozambique Ministry of Public Works,state_agency,Owner Maputo Bridge
wba_org_01HREAL050,Mota-Engil Africa,private,"Portugal, developer/contractor Bugesera"
wba_org_01HREAL051,Rwanda Ministry of Infrastructure,state_agency,Owner Bugesera Airport
wba_org_01HREAL052,Eiffage Genie Civil,private,"France, contractor Dakar TER"
wba_org_01HREAL053,Eiffage Senegal,private,"Senegal, contractor Dakar TER"
wba_org_01HREAL054,Yapi Merkezi,private,"Turkey, contractor Dakar TER"
wba_org_01HREAL055,Thales,private,"France, systems Dakar TER"
wba_org_01HREAL056,Bui Power Authority,state_agency,"Ghana, owner Bui Dam"
wba_org_01HREAL057,OEC - Odebrecht Engenharia,private,"Brazil, contractor Lauca"
wba_org_01HREAL058,ANDRITZ Hydro,private,"Austria, supplier Lauca turbines"
wba_org_01HREAL059,Uganda National Roads Authority,state_agency,"UNRA, owner Kampala Expressway"
wba_org_01HREAL060,Malawi Ministry of Information,state_agency,Owner Malawi fibre backbone
wba_org_01HREAL062,Zimbabwe National Water Authority,state_agency,"ZINWA, owner Tokwe-Mukosi"
wba_org_01HREAL063,NetOne Cellular,state_agency,"Zimbabwe, owner NetOne Broadband"
wba_org_01HREAL064,Olkaria Geothermal Power,state_agency,"Kenya, owner Olkaria"
wba_org_01HREAL066,Toshiba Energy Systems,private,"Japan, turbine supplier Olkaria"
wba_org_01HREAL067,China Wu Yi,private,"China, contractor Nairobi Outer Ring"
wba_org_01HREAL068,Kenya Urban Roads Authority,state_agency,"KURA, owner Outer Ring"
wba_org_01HREAL069,Genale Dawa III EPC JV,private,JV for Genale Dawa
wba_org_01HREAL070,Zambia Airports Corporation Limited,state_agency,"ZACL, owner KKIA"
wba_org_01HREAL071,China Jiangxi International Economic & Technical Cooperation,soe,"CJIC, contractor KKIA"
wba_org_01HREAL073,Tanzania Railways Corporation,state_agency,"TRC, owner Tanzania SGR"
wba_org_01HREAL074,Vale S.A.,private,"Brazil, sponsor Nacala corridor"
wba_org_01HREAL075,Mitsui & Co.,private,"Japan, sponsor Nacala"
wba_org_01HREAL076,AECOM,private,"USA, designer Tema Port"
wba_org_01HREAL077,Meridian Port Services,private,"Ghana, JV Tema Port"
