org_id,country_iso3,relation,source_claim
wba_org_01HREAL001,CHN,headquarters,wba_clm_01HREAL001
wba_org_01HREAL002,CHN,headquarters,wba_clm_01HREAL001
wba_org_01HREAL003,CHN,financing,wba_clm_01HREAL003
wba_org_01HREAL005,CHN,headquarters,wba_clm_01HREAL005
wba_org_01HREAL007,CHN,headquarters,wba_clm_01HREAL007
wba_org_01HREAL008,CHN,headquarters,wba_clm_01HREAL007
wba_org_01HREAL012,DNK,headquarters,wba_clm_01HREAL010
wba_org_01HREAL014,CHN,headquarters,wba_clm_01HREAL011
wba_org_01HREAL019,CHN,headquarters,wba_clm_01HREAL012
wba_org_01HREAL020,ITA,headquarters,wba_clm_01HREAL013
wba_org_01HREAL022,CHN,headquarters,wba_clm_01HREAL015
wba_org_01HREAL023,CHN,headquarters,wba_clm_01HREAL015
wba_org_01HREAL025,KOR,headquarters,wba_clm_01HREAL020
wba_org_01HREAL027,KOR,financing,wba_clm_01HREAL017
wba_org_01HREAL033,ZAF,headquarters,wba_clm_01HREAL023
wba_org_01HREAL035,CHN,headquarters,wba_clm_01HREAL024
wba_org_01HREAL037,CHN,headquarters,wba_clm_01HREAL025
wba_org_01HREAL039,JPN,headquarters,wba_clm_01HREAL026
wba_org_01HREAL042,CHN,headquarters,wba_clm_01HREAL028
wba_org_01HREAL045,ZMB,headquarters,wba_clm_01HREAL030
wba_org_01HREAL047,EGY,headquarters,wba_clm_01HREAL031
wba_org_01HREAL048,EGY,headquarters,wba_clm_01HREAL031
wba_org_01HREAL050,PRT,headquarters,wba_clm_01HREAL033
wba_org_01HREAL052,FRA,headquarters,wba_clm_01HREAL034
wba_org_01HREAL054,TUR,headquarters,wba_clm_01HREAL034
wba_org_01HREAL057,BRA,headquarters,wba_clm_01HREAL036
wba_org_01HREAL058,AUT,headquarters,wba_clm_01HREAL036
wba_org_01HREAL063,ZWE,headquarters,wba_clm_01HREAL040
wba_org_01HREAL040,JPN,headquarters,wba_clm_01HREAL041
wba_org_01HREAL067,CHN,headquarters,wba_clm_01HREAL042
wba_org_01HREAL071,CHN,headquarters,wba_clm_01HREAL043
wba_org_01HREAL074,BRA,headquarters,wba_clm_01HREAL045
wba_org_01HREAL075,JPN,headquarters,wba_clm_01HREAL045
wba_org_01HREAL078,FRA,headquarters,wba_clm_01HREAL046
wba_org_01HREAL079,NLD,headquarters,wba_clm_01HREAL046
wba_org_01HREAL080,CHN,financing,wba_clm_01HREAL047
wba_org_01HREAL081,SAU,headquarters,wba_clm_01HREAL048
wba_org_01HREAL083,NAM,headquarters,wba_clm_01HREAL049
wba_org_01HREAL084,CMR,headquarters,wba_clm_01HREAL050
wba_org_01HREAL086,FRA,headquarters,wba_clm_01HREAL051
wba_org_01HREAL087,COD,headquarters,wba_clm_01HREAL052
wba_org_01HREAL088,CHN,headquarters,wba_clm_01HREAL053
wba_org_01HREAL090,TUR,headquarters,wba_clm_01HREAL054
wba_org_01HREAL091,TUR,headquarters,wba_clm_01HREAL055
wba_org_01HREAL096,BFA,headquarters,wba_clm_01HREAL058
wba_org_01HREAL098,FRA,headquarters,wba_clm_01HREAL058
