id,project_id,title,contract_id_external,contracting_authority,contractor,contract_type,procurement_method,status,award_date,sign_date,start_date,end_date,currency,value_original,value_precision,financing_source,amendment_count,notes
wba_ctr_01HREAL001,wba_prj_01HREAL001,Hwange 7&8 EPC Contract,,wba_org_01HREAL004,wba_org_01HREAL001,construction,open_tender,completed,wba_date_01HREAL001,wba_date_01HREAL001,,,USD,1500000000,approx,wba_org_01HREAL003,0,85% Exim Bank preferential buyer's credit ~$1bn; total EPC ~$1.5bn; source reports vary - preserved as approx
wba_ctr_01HREAL002,wba_prj_01HREAL002,Kariba South EPC Contract,,wba_org_01HREAL004,wba_org_01HREAL001,construction,direct_award,completed,,,,,USD,319450000,exact,wba_org_01HREAL003,0,"$319.45m Exim Bank preferential buyer credit, 20yr 2%"
wba_ctr_01HREAL003,wba_prj_01HREAL003,RGM Airport EPC Contract,,wba_org_01HREAL006,wba_org_01HREAL005,construction,open_tender,completed,wba_date_01HREAL004,wba_date_01HREAL004,,,CNY,1045000000,exact,wba_org_01HREAL003,0,RMB 1.045bn government concessional loan 20yr 7yr grace 2%
wba_ctr_01HREAL004,wba_prj_01HREAL004,Nairobi Expressway BOT Concession,,wba_org_01HREAL010,wba_org_01HREAL007,ppp,ppp,active,wba_date_01HREAL006,wba_date_01HREAL006,,,USD,668000000,approx,wba_org_01HREAL003,0,"PPP BOT 30yr concession, $668m est; $494m Exim/CDB facility; toll operator Moja Expressway"
wba_ctr_01HREAL005,wba_prj_01HREAL005,SGR Phase 1 EPC Contract,,wba_org_01HREAL018,wba_org_01HREAL007,construction,direct_award,completed,,wba_date_01HREAL007,,,USD,3600000000,approx,,0,$3.6bn; 90% Exim Bank two loans $1.63bn each; Kenya Gov 10%
wba_ctr_01HREAL006,wba_prj_01HREAL006,LTWP Turbine Supply Contract,,wba_org_01HREAL013,wba_org_01HREAL012,supply,open_tender,completed,wba_date_01HREAL014,,,,EUR,,undisclosed,,0,"365 turbines V52-850kW, 15yr service; value undisclosed"
wba_ctr_01HREAL007,wba_prj_01HREAL008,Ethio-Djibouti Railway EPC Lots,,wba_org_01HREAL018,wba_org_01HREAL014,construction,direct_award,completed,,wba_date_01HREAL011,,,USD,4000000000,approx,wba_org_01HREAL003,0,CREC Sebeta-Mieso 320km + CCECC Mieso-Djibouti 339km; ~$4bn Exim Bank
wba_ctr_01HREAL008,wba_prj_01HREAL009,GERD Main Civil Works,,wba_org_01HREAL021,wba_org_01HREAL020,construction,direct_award,completed,,,,,USD,5000000000,approx,,0,"5,150 MW, domestically financed via bonds, no multilateral loan"
wba_ctr_01HREAL009,wba_prj_01HREAL007,Addis Light Rail EPC Contract,,wba_org_01HREAL018,wba_org_01HREAL014,construction,direct_award,completed,,wba_date_01HREAL009,,,USD,475000000,exact,wba_org_01HREAL003,0,"$475m, 85% Exim Bank, 41 trams CRRC Changchun"
wba_ctr_01HREAL010,wba_prj_01HREAL010,New Parliament EPC Grant Contract,,wba_org_01HREAL024,wba_org_01HREAL022,construction,direct_award,completed,wba_date_01HREAL015,wba_date_01HREAL015,,,CNY,675860000,exact,wba_org_01HREAL024,0,"RMB 675.8m grant, Shanghai Construction Group, SIPPR design"
