id,canonical_name,aliases,country_iso3,sectors,status,location_precision,lat,lon,geom_wkt,summary,notes,created_at,updated_at
wba_prj_01HREAL001,Hwange Thermal Power Station Expansion Units 7 & 8,Hwange 7&8,ZWE,other,commissioned,exact,-18.383,26.48,,"Hwange 600 MW expansion by Sinohydro, 85% Exim Bank financing, commissioned 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL002,Kariba South Hydropower Station Expansion,Kariba South Extension,ZWE,hydropower,commissioned,exact,-16.521,28.761,POINT(28.761 -16.521),"Kariba South 2x150 MW expansion by Sinohydro, $319m Exim Bank, commissioned 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL003,Robert Gabriel Mugabe International Airport Expansion,RGM Airport Expansion,ZWE,airports,commissioned,approximate,-17.931,31.092,,"Harare airport capacity 2.5m to 6m, CJI contractor, RMB 1.045bn Exim Bank loan, 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL004,Nairobi Expressway,JKIA–Westlands Expressway,KEN,roads|urban_development,commissioned,corridor,,,"LINESTRING(36.92 -1.31, 36.78 -1.28)","27.1 km elevated toll road by CRBC/CCCC via Moja Expressway, PPP BOT, trial 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL005,Mombasa–Nairobi Standard Gauge Railway Phase 1,SGR Kenya Phase 1,KEN,railways,commissioned,corridor,,,"LINESTRING(39.66 -4.05, 36.82 -1.29)","472 km heavy rail by CRBC, 90% Exim Bank financing, inaugurated 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL006,Lake Turkana Wind Power Project,LTWP,KEN,wind_power,commissioned,exact,2.85,36.82,POINT(36.82 2.85),"310 MW wind farm by Vestas, 365 turbines, Africa's largest, commissioned 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL007,Addis Ababa Light Rail Transit,Addis LRT,ETH,public_transport|railways,commissioned,corridor,,,"LINESTRING(38.78 8.98, 38.77 9.03)","34.25 km light rail by CREC/CREEC, $475m, 85% Exim Bank, opened 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL008,Addis Ababa–Djibouti Standard Gauge Railway,Ethio-Djibouti Railway,ETH,railways,commissioned,corridor,,,"LINESTRING(38.74 9.03, 43.0 11.59)","752.7 km electrified heavy rail by CREC/CCECC, ~$4bn Exim Bank, opened 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL009,Grand Ethiopian Renaissance Dam,GERD,ETH,hydropower|dams,commissioned,exact,11.22,35.09,POINT(35.09 11.22),"5,150 MW hydropower by Webuild (Italy), domestically financed, inaugurated 2025",,2026-09-11,2026-09-11
wba_prj_01HREAL010,"New Parliament Building, Mount Hampden",New Parliament Zimbabwe,ZWE,government_buildings,commissioned,exact,-17.689,30.943,POINT(30.943 -17.689),"New Parliament 33,000 sqm 650 seats by Shanghai Construction Group, China Aid grant RMB 675.8m, handed over 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL011,Victoria Falls International Airport Expansion,Victoria Falls Airport,ZWE,airports,commissioned,exact,-18.096,25.839,POINT(25.839 -18.096),"Victoria Falls Airport capacity 500k to 1.5m, runway 4km, China Jiangsu, $150m Exim loan, 2016",,2026-09-11,2026-09-11
